Top 8 Best Mean: 
Mean  20.306667   PS: ps7
Mean  20.093333   PS: ps5
Mean  20.04   PS: ps1
Mean  20.006667   PS: ps8
Mean  19.68   PS: ps3
Mean  19.126667   PS: ps4
Mean  19.053333   PS: ps6
Mean  18.506667   PS: ps2
Top 8 Best Fitness: 
Fitness  22.8   PS: ps8
Fitness  22.6   PS: ps1
Fitness  22.0   PS: ps5
Fitness  21.6   PS: ps7
Fitness  21.6   PS: ps3
Fitness  21.4   PS: ps4
Fitness  21.0   PS: ps6
Fitness  19.6   PS: ps2

