"['THADS5m1s40alph', 'ps1']","['THADS5m3s40alph', 'ps1']","['THADS5m5s40alph', 'ps1']","['THADS5m1s40alph', 'ps2']","['THADS5m3s40alph', 'ps2']","['THADS5m5s40alph', 'ps2']","['THADS5m1s40alph', 'ps3']","['THADS5m3s40alph', 'ps3']","['THADS5m5s40alph', 'ps3']","['THADS5m1s40alph', 'ps4']","['THADS5m3s40alph', 'ps4']","['THADS5m5s40alph', 'ps4']","['THADS5m1s40alph', 'ps5']","['THADS5m3s40alph', 'ps5']","['THADS5m5s40alph', 'ps5']","['THADS5m1s40alph', 'ps6']","['THADS5m3s40alph', 'ps6']","['THADS5m5s40alph', 'ps6']","['THADS5m1s40alph', 'ps7']","['THADS5m3s40alph', 'ps7']","['THADS5m5s40alph', 'ps7']","['THADS5m1s40alph', 'ps8']","['THADS5m3s40alph', 'ps8']","['THADS5m5s40alph', 'ps8']"
ps1,ps1,ps1,ps2,ps2,ps2,ps3,ps3,ps3,ps4,ps4,ps4,ps5,ps5,ps5,ps6,ps6,ps6,ps7,ps7,ps7,ps8,ps8,ps8
30.4,65.8,51,32.2,64.6,52,32.8,60.4,49.2,27.8,53.6,46.8,30.8,40,45.2,29.2,65,52.2,32.8,43.4,45.4,33.6,59.4,47.6
29.8,64.8,56.6,32.2,63.8,52.2,30.4,61.4,48.2,27.6,58.6,45.8,31.8,59.8,47,28.8,62.8,51.8,28.8,52.2,46.6,32.2,60.4,47.8
30.8,65,52.4,30.2,65.6,50.4,32,62.8,49.6,27.6,34.2,47.4,30.2,61.4,45.8,30.6,66.4,52,30,56.4,47.8,32.8,60.4,53.6
29.8,63.6,51.6,31.6,64.6,50,32.6,60.4,47.8,27.4,38.4,45.6,30.6,58.8,44.6,29.8,66,50,31.8,62,47.6,31.8,60,47.4
31,64,53.4,30.6,64.2,51,30.6,60.4,48.2,27.4,58.4,44,29.2,58.6,46.6,29.6,67.4,51.8,30.8,57.8,46.6,34.8,59.4,48.4
31.2,61.8,52.6,31,66.4,49.6,32,61.6,48.8,26.8,44.4,25.6,31,63.2,48.2,32.2,65.2,54,29.8,46.6,46.6,34.8,61,50.8
30.2,64.8,55,30.8,62.8,50.8,34.6,60.6,47.4,28.6,32,44,31.8,61.6,48,29,64.2,54.8,30.8,53.6,45,33.2,60.8,50.6
32.8,64.6,55.8,31,65,50.6,32,60.2,49.2,26.4,39.2,44.6,31.2,59.8,46.2,29.2,66.2,53.6,29.4,59.2,46.2,33.6,61.2,47.4
29.8,64,54.2,30.6,65.2,51,33,61.4,49.2,27,55.2,42,30.2,58.4,44.4,29.6,67.4,51.6,29.6,57.6,47.6,31.8,60.4,49.6
31.8,65.4,55.8,30.8,66.8,51.4,30.2,62.6,49.4,28.4,58.6,45,30,45.8,45.6,30.2,65.2,51.4,31.4,63.4,47.8,34.8,61.4,48
31.4,63.6,53.6,31.8,63.8,57.6,32,61.6,50.4,27,58.4,39,31.2,58.8,46.6,30.2,62.8,50.6,29.6,57.2,44.6,33.4,60,47.6
30.8,63.4,50,30.2,64.8,51.4,31.4,61.4,48.6,26.8,31,43,30.4,58.4,47,30.4,66.2,50,30.2,50.6,45.8,34.4,59.6,45.2
30.4,62,51.8,30.8,66.4,52.2,32.6,60,48.4,26.8,52,41.2,30.4,58.8,46.2,28.2,66,51,33.2,47.8,44,32.6,59.2,47
30.6,65,53.6,31,67,50.8,31.8,60.8,48.4,27.4,56.4,46.6,29.2,58,48.8,29.8,49.8,50.8,30,61.6,44,32.4,60.6,48.4
30,64.4,52.4,31.4,64.6,51.4,31.8,62.4,52.4,27,58.6,47.2,29.6,57.8,47.8,30,64.2,50.6,29.4,61.4,47,33.4,60.4,50.4
30.2,63.6,55,30,64.2,52.8,31,63,50.4,27.2,54.2,43,31,57.6,47.6,29.2,63.6,52.2,30.2,54.4,48.2,32.2,64.4,49
30.2,63.4,53.6,30.6,65,50.4,31.2,59.2,49.8,25.6,57.2,47.6,30.2,55.8,47.8,28.8,64.8,51.2,31.2,57.2,44,33.6,59.4,47.4
31,64.6,54.6,31.8,66.4,48.8,31.2,61,47.4,27.2,44.4,46,30.6,57,48,31.6,68.2,55,30.8,59.6,45.8,32.2,61.6,47
31.6,63.8,51.4,32.2,64.8,50.8,31.8,62.8,51.8,27.8,33.2,45.8,29.8,59.4,45.8,31,66.8,52,31.6,59,48.2,31.2,61.2,48.2
31.8,63.2,50.8,31.6,65.6,50.8,31.6,59.6,49.4,29.6,61.4,43.4,30,62,45,28.8,65.4,54.2,30.2,53.2,46.6,32.2,61.2,46.6
29.4,65.4,52.4,31.6,64.4,50,32.2,61.2,51.6,27.6,42.2,30,30.2,59.8,47.6,30.6,65.8,52.2,30.2,53.6,44.4,35,61,47.8
33.2,64,54.2,30,64.2,52,32,61.4,49.8,28.8,38.2,46.2,31,56.6,46.2,29.4,66,52,29.6,57.8,51.2,32,58.2,48.2
31.6,64.6,52,30,66.4,54,31.2,61,50.4,30,57.8,45.8,30.2,60,47,29.6,65,51,32,44.2,47.8,33.4,60.2,46.4
30.6,64.6,51,30.8,64.2,51,32.6,61.8,48.4,27.2,36.8,48.2,31.6,60,45.6,30.2,65.8,50,30,60,41.4,34,60.8,47.4
31.4,63.8,52.8,30.6,64.2,51.4,33.6,61,47.8,26.8,54.8,48.4,30.4,60.2,45.4,29.2,64.6,51.8,29,58.6,46.8,37,59.6,47.2
32.2,63.2,51.4,32.6,67,50.8,31.4,64,49,27.2,39.6,49.6,29.2,59.6,47,29,64.6,51.4,31.8,55.6,46.8,32.6,60,47.4
31,63.2,53,32.2,65.8,50.4,30.6,62.4,50.6,27.8,46.6,45.4,30.2,60.6,46,29.4,66.6,52,30.8,56.6,47.6,32.4,62,49.6
31.6,66.2,53.6,30.4,64.4,51.4,32,61.4,52,28,53.6,47.4,30,61.2,44.4,31,62,51.4,30.8,52.4,47.6,32.2,60.2,47.2
31.4,63.4,50.4,30.8,63,51,33.4,62,48.2,27,59.6,47.2,30.4,58.8,45.4,30.2,63.8,51,30.8,57,46.2,34.4,61.8,47.4
31.8,64.2,55.8,31.8,64.2,49.8,30.6,61,47.6,27.4,54,42.4,30.8,58.8,46.4,29,65.8,49.4,30.6,42.4,47,31.8,60.6,48
