experiment,parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['THADS5m1s30alph', 'ps1']",ps1,26,26.2,26.8,26.2,25.8,26,26.2,27.8,26.6,26.4,26,26.8,26,26.4,26.6,26,25.6,28.2,28.8,25.8,25.8,26.6,26,25.4,25.6,28.4,27.2,25.4,26.8,27.6
"['THADS5m3s30alph', 'ps1']",ps1,60,60,58.4,58.2,59,60.6,58.8,57.8,57.2,57.8,59.2,58.2,58.2,56.8,59.8,56.2,58,56.8,56.4,58.2,57.2,55.4,57.8,58,59.2,58.2,56.6,58,58.6,56.6
"['THADS5m5s30alph', 'ps1']",ps1,62.6,63.6,62.6,63.8,63.6,62.4,65,63.2,64,62.4,64.4,65.4,64.4,62.2,64.4,61.4,63.6,64,64.2,63.8,64,62.6,63.6,63.6,62.6,63.6,64,63.6,65.4,61.8
"['THADS5m1s30alph', 'ps2']",ps2,28.4,24.8,26.4,26.8,28,27,27.6,26.8,27.2,26,25.4,24.6,26.2,25,25.8,26.2,27,27,26.4,26.2,24.8,26.6,27.6,27,26.6,26,26.2,28.6,25.2,27.2
"['THADS5m3s30alph', 'ps2']",ps2,58,59.2,58.4,59.2,59.2,56.8,58.4,58.8,59.8,59.4,57.8,58.4,57.8,58.2,60.6,58.8,58.2,59.8,58.8,56.6,58.4,60.2,58,58.6,61.2,58.4,58.2,58,60,57.4
"['THADS5m5s30alph', 'ps2']",ps2,62.6,62.8,63.2,60.8,62,65.4,65.8,63.2,62,65.4,63.8,62,63.8,64,62.8,65.2,62.6,63.4,64.2,64,63.2,62,64.4,64.8,63.6,64.4,63.8,62.4,63,62.4
"['THADS5m1s30alph', 'ps3']",ps3,26.6,26.8,27.2,26,28.6,27.8,28,27,26.2,28.2,28.2,26.8,27.8,27,27,26.4,27,27,26.4,27,28.2,27.6,27.2,26.6,27.4,27,27.2,27.6,27.2,26.6
"['THADS5m3s30alph', 'ps3']",ps3,55.4,57.6,56.8,55.6,56.6,58.2,55.2,57.4,60.4,60.8,57.4,60.2,55.6,57.4,58.4,56,55.4,56.8,58.6,58.6,58.6,56.2,59.6,57.8,58.8,58.2,56,58.8,59.6,58.8
"['THADS5m5s30alph', 'ps3']",ps3,61,62.6,61.6,61,62.2,61.2,62.2,59.6,60,62.4,63.6,62.4,61,61.8,60,60.8,59.8,62,61.6,63.8,60.2,60.8,60.8,60.8,64.6,64,61.2,60.2,60,60.4
"['THADS5m1s30alph', 'ps4']",ps4,27.2,25.2,24.8,25.2,25.2,24.2,25,26.4,24.8,25.2,25.2,26.2,26,25.6,26.4,25,25.2,25.2,25,26,26,25.2,25,24.6,26.6,24.6,24.6,24.6,26,25.2
"['THADS5m3s30alph', 'ps4']",ps4,47.2,34,38,49.6,48.8,47,50.6,42.4,45.4,47.8,49.8,48.8,47.2,49.2,40,36.8,43.4,48.6,36.8,51.6,38.6,40.4,44.4,46.6,48.2,49.8,46.4,48.2,49,44.2
"['THADS5m5s30alph', 'ps4']",ps4,59,48,56.2,53.8,56.8,50.6,57,41.2,49.8,58.2,48.6,55.6,54,60.2,57,57,57.2,58,53.8,39.8,57.8,56.6,54.4,56.2,57.4,56.4,51.8,56.8,52.4,58.2
"['THADS5m1s30alph', 'ps5']",ps5,26.2,26.8,27.6,26.4,26.8,26.6,26.2,26.6,29,26.4,27.2,27.2,28.6,27,27.8,26.4,27.8,26.2,27.8,29.6,26.2,28,28,25.6,27,27.8,26.8,27.2,27.4,27.4
"['THADS5m3s30alph', 'ps5']",ps5,53.4,55.8,48.2,42.2,51.6,56.4,53.4,53,53.2,55,52.8,54.4,52.2,53.6,54.4,53.2,52.4,56,51.6,51.6,51.2,53.2,54,51.4,54.2,51.8,53,50.4,54.2,48.6
"['THADS5m5s30alph', 'ps5']",ps5,55.2,58.4,60.4,58.2,57.4,59,58,56,57.2,55.8,55.2,59.6,55.2,57,58.2,55.2,57,58.2,59.8,57.8,58.4,56.4,56.4,55.2,58.6,60.8,57.2,58.4,56.4,57.4
"['THADS5m1s30alph', 'ps6']",ps6,26.4,26,26.4,27.6,28.2,26.6,27,26,25.6,26.8,27.2,27.6,27.2,28.6,27.6,26.6,26.6,26.4,27,27.2,28,26,25.8,27,26.2,26.8,28.4,26.8,26.6,26.2
"['THADS5m3s30alph', 'ps6']",ps6,49.2,49.6,56,48.8,50.6,56.6,47.8,51,50.8,52.8,53.4,49.6,51.8,52,50.4,53.6,50.8,52.8,50,52.4,53.8,51.4,50.2,51.6,49,52.2,52.2,53.4,54.4,47.4
"['THADS5m5s30alph', 'ps6']",ps6,64.6,66.2,62.8,63,62.4,65.4,63.8,62.2,60.2,62.4,62,64.8,65.6,64.4,64.2,60.2,63,61.6,63.6,64,63.4,60,64.4,61.6,61.8,62.8,63.2,64.8,61.6,64.4
"['THADS5m1s30alph', 'ps7']",ps7,26.6,26,27.2,26.8,28.2,26.6,26.6,27.2,28.2,27.4,28.8,26.8,27.8,27,26.2,26.6,27.4,26.4,26.2,26.6,28.6,27.2,28,26.8,27,26.4,27.6,29.2,27.2,27.6
"['THADS5m3s30alph', 'ps7']",ps7,41.2,53.8,49.4,48.4,51.4,45.6,53.4,51.6,49.8,45,48.8,52.2,54.8,54.4,55.4,51.8,53.6,46.4,51.4,42,54.8,50.4,47.6,53.4,50.8,53.6,50.2,49.6,44.4,46.8
"['THADS5m5s30alph', 'ps7']",ps7,58.8,59.4,53.4,50.4,56.6,58,59.8,58,57,51.6,54,57.4,57.8,61,58.6,56.4,57.4,55.8,62,57.6,54.6,54.2,57.6,57,55.2,58,57,57.4,57.2,54
"['THADS5m1s30alph', 'ps8']",ps8,26.6,27.2,27.6,27.8,27.6,26.4,28,27.2,26.4,26.8,26.4,27,27.4,27.4,28.2,26.8,27.4,27,26.8,28.6,28,28,26.4,27.2,26.8,27.2,28,27.2,27.6,26
"['THADS5m3s30alph', 'ps8']",ps8,57.8,58.6,59.8,58.2,57.8,57.8,59.2,58.2,58.8,56.4,57,57.4,57.2,62.4,56.8,59.4,58.4,60,57.8,57.6,57.6,58,59.4,58,60.6,57.2,58.4,57.8,58,61.6
"['THADS5m5s30alph', 'ps8']",ps8,58.2,59.2,60,61.2,59.2,57.8,61.2,60.6,59.8,61.8,59.6,59.2,57,59,59.2,59.4,62.4,57,58.8,57.8,58.4,58.6,62.6,59.4,59.2,58,59.2,59.6,61,60.8
