11.262    0.194904    0.989422  14.6    
15.866    0.484447    2.45928   20.2    
16.452    0.52662     2.67337   21      
16.16     0.607973    3.08636   21      
16.59     0.596748    3.02937   22.4    
17.376    0.601022    3.05107   23      
17.112    0.653697    3.31847   23      
17.154    0.680833    3.45622   23      
17.322    0.696698    3.53677   25.8    
17.46     0.69689     3.53774   25.8    
17.466    0.661128    3.35619   25.8    
17.698    0.704356    3.57564   25.8    
17.5      0.693116    3.51858   25.8    
17.5      0.772683    3.9225    25.8    
17.902    0.706029    3.58413   25.8    
17.62     0.808935    4.10653   25.8    
18.042    0.742583    3.7697    25.8    
17.516    0.764741    3.88218   25.8    
18.356    0.757735    3.84662   25.8    
17.79     0.830892    4.218     25.8    
17.848    0.779316    3.95617   25.8    
17.982    0.810059    4.11223   25.8    
18.524    0.720118    3.65566   25.8    
18.226    0.80959     4.10986   25.8    
18.17     0.79829     4.05249   25.8    
18.258    0.813084    4.12759   25.8    
18.22     0.761004    3.86321   25.8    
18.29     0.809776    4.1108    25.8    
18.266    0.849526    4.31259   25.8    
18.046    0.830808    4.21757   25.8    
18.602    0.824594    4.18602   25.8    
18.558    0.838293    4.25557   25.8    
18.652    0.791127    4.01613   25.8    
18.782    0.820813    4.16683   25.8    
18.312    0.864186    4.38701   25.8    
18.868    0.844949    4.28936   25.8    
19.074    0.797245    4.04719   25.8    
18.832    0.83116     4.21936   25.8    
19.198    0.807514    4.09932   26.4    
19.124    0.794243    4.03195   26.4    
19.208    0.794578    4.03365   26.4    
18.63     0.937269    4.75801   26.4    
19.084    0.84951     4.31251   26.4    
19.054    0.797268    4.04731   26.4    
19.404    0.855007    4.34041   27.4    
19.182    0.810844    4.11622   27.4    
19.308    0.838369    4.25595   27.4    
19.064    0.88461     4.49069   27.4    
18.714    0.920777    4.67429   27.4    
19.38     0.934817    4.74557   27.4    
19.432    0.907541    4.6071    27.4    
19.512    0.93798     4.76162   27.4    
19.22     0.917217    4.65622   29.2    
19.852    0.895296    4.54494   29.2    
19.654    0.880582    4.47024   29.2    
19.902    0.947728    4.81111   29.2    
20.472    0.77533     3.93594   29.2    
20.346    0.828394    4.20532   29.2    
19.958    0.863107    4.38153   29.2    
19.948    0.884763    4.49147   29.2    
19.676    1.00936     5.12397   29.2    
20.24     0.913614    4.63793   29.2    
20.162    0.939127    4.76745   29.2    
20.158    0.885494    4.49518   29.2    
20.316    0.874024    4.43695   29.2    
20.33     0.90979     4.61852   29.2    
20.15     0.919108    4.66582   29.2    
19.718    0.96655     4.90666   29.2    
20.232    0.972276    4.93572   29.2    
19.806    0.974854    4.94881   29.2    
20.378    0.92702     4.70599   29.2    
20.358    0.856717    4.3491    29.2    
20.492    0.808607    4.10487   29.2    
20.412    0.887342    4.50456   29.2    
20.484    0.868894    4.41091   29.2    
21.204    0.849104    4.31045   29.2    
21.06     0.797728    4.04964   29.2    
21.128    0.808283    4.10322   29.2    
20.748    0.905999    4.59927   29.2    
20.962    0.882058    4.47774   29.2    
20.542    0.924378    4.69257   29.2    
20.092    0.904246    4.59037   29.2    
21.04     0.879861    4.46659   29.8    
20.816    0.935351    4.74828   29.8    
20.696    0.985748    5.00412   29.8    
20.66     0.893472    4.53568   29.8    
20.206    1.02924     5.2249    29.8    
20.616    0.90181     4.57801   29.8    
20.87     0.940113    4.77245   29.8    
20.832    0.858896    4.36016   29.8    
20.216    0.965434    4.90099   29.8    
20.712    0.87118     4.42252   29.8    
21.082    0.843973    4.2844    29.8    
20.21     0.979491    4.97235   29.8    
20.518    0.979613    4.97297   29.8    
20.478    0.882555    4.48026   29.8    
20.854    0.871795    4.42564   29.8    
21.164    0.853324    4.33187   29.8    
21.078    0.860308    4.36732   29.8    
20.476    0.933742    4.74011   29.8    
20.376    0.989752    5.02444   29.8    
