7.908     0.0756637   0.384104  8.8     
9.406     0.157043    0.797223  11.4    
9.548     0.164493    0.835043  11.4    
9.666     0.176548    0.896239  11.6    
9.804     0.187375    0.951201  11.8    
9.734     0.201279    1.02178   11.8    
9.742     0.20006     1.0156    11.8    
9.822     0.197922    1.00475   11.8    
9.832     0.210968    1.07097   11.8    
9.882     0.205932    1.04541   11.8    
9.786     0.199979    1.01519   11.8    
9.796     0.206901    1.05033   11.8    
9.826     0.194262    0.986166  11.8    
9.73      0.209688    1.06447   11.8    
9.778     0.198392    1.00713   12.2    
9.856     0.214206    1.08741   12.2    
9.836     0.211163    1.07196   12.2    
9.834     0.20788     1.05529   12.2    
9.834     0.206531    1.04845   12.2    
9.772     0.206604    1.04882   12.2    
9.858     0.20451     1.03819   12.2    
9.834     0.214494    1.08887   12.2    
9.926     0.209486    1.06345   12.2    
9.896     0.204448    1.03787   12.2    
9.886     0.196929    0.999702  12.2    
9.832     0.202253    1.02673   12.2    
9.822     0.219702    1.11531   12.2    
9.904     0.195284    0.991355  12.2    
9.914     0.218736    1.11041   12.2    
9.83      0.226895    1.15182   12.2    
9.852     0.211254    1.07243   12.2    
9.826     0.21294     1.08098   12.2    
9.904     0.208359    1.05773   12.2    
9.892     0.202       1.02544   12.2    
9.852     0.215329    1.09311   12.2    
9.908     0.208056    1.05619   12.2    
9.924     0.223893    1.13658   12.2    
9.944     0.22973     1.16622   12.2    
9.952     0.215077    1.09183   12.2    
9.842     0.208866    1.0603    12.2    
9.956     0.223115    1.13264   12.2    
9.97      0.210057    1.06635   12.2    
9.774     0.21133     1.07281   12.2    
9.866     0.216869    1.10093   12.2    
9.876     0.210013    1.06613   12.2    
9.898     0.220661    1.12018   12.2    
9.872     0.210437    1.06828   12.2    
9.886     0.215519    1.09408   12.2    
10.026    0.206426    1.04791   12.2    
9.946     0.216497    1.09904   12.2    
9.99      0.206254    1.04704   12.2    
9.866     0.226394    1.14928   12.2    
9.948     0.228548    1.16021   12.2    
9.93      0.212847    1.08051   12.2    
9.882     0.221825    1.12609   12.2    
9.904     0.221011    1.12196   12.2    
9.9       0.223249    1.13331   12.2    
9.986     0.227024    1.15248   12.2    
9.99      0.209169    1.06184   12.2    
10        0.221048    1.12214   12.2    
10.062    0.210819    1.07021   12.2    
10.072    0.221925    1.12659   12.2    
10.036    0.216391    1.0985    12.2    
9.938     0.209637    1.06422   12.4    
9.93      0.23297     1.18267   12.4    
10.07     0.223309    1.13362   12.4    
9.966     0.230403    1.16963   12.4    
9.992     0.219492    1.11424   12.4    
9.972     0.220979    1.12179   12.4    
10.06     0.20445     1.03788   12.4    
9.996     0.215644    1.09471   12.4    
9.966     0.233747    1.18661   12.4    
10        0.233345    1.18457   12.4    
9.93      0.236738    1.20179   12.4    
10.142    0.217458    1.10392   12.4    
10.022    0.228973    1.16238   12.4    
10.012    0.22438     1.13906   12.4    
10.016    0.23465     1.19119   12.4    
9.912     0.2327      1.18129   12.4    
9.912     0.220226    1.11797   12.4    
9.926     0.226846    1.15157   12.4    
9.928     0.233446    1.18508   12.4    
9.96      0.220344    1.11857   12.4    
9.932     0.218876    1.11111   12.4    
10.044    0.216046    1.09675   12.4    
10.066    0.214132    1.08703   12.4    
9.998     0.228675    1.16086   12.4    
9.994     0.226147    1.14803   12.4    
10.044    0.208887    1.06041   12.4    
10.062    0.225957    1.14706   12.4    
9.99      0.220371    1.1187    12.4    
9.968     0.226645    1.15055   12.4    
9.992     0.223694    1.13558   12.4    
10.026    0.219685    1.11522   12.4    
9.996     0.219       1.11175   12.4    
9.972     0.229996    1.16757   12.4    
10.104    0.222969    1.13189   12.4    
9.986     0.231291    1.17414   12.4    
10.046    0.224244    1.13837   12.4    
9.996     0.22356     1.13489   12.4    
9.876     0.23099     1.17261   12.4    
