########################
Run # 1
########################
p0: 126    Mating Event #: 0
p0: 126    Mating Event #: 25000
p0: 126    Mating Event #: 50000
p0: 126    Mating Event #: 75000
p0: 56    Mating Event #: 100000
p0: 56    Mating Event #: 125000
p0: 79    Mating Event #: 150000
p0: 79    Mating Event #: 175000
p0: 56    Mating Event #: 200000
p0: 79    Mating Event #: 225000
########################
Run # 2
########################
p0: 79    Mating Event #: 0
p0: 79    Mating Event #: 25000
p0: 79    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 119    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 3
########################
p0: 2    Mating Event #: 0
p0: 2    Mating Event #: 25000
p0: 2    Mating Event #: 50000
p0: 2    Mating Event #: 75000
p0: 2    Mating Event #: 100000
p0: 2    Mating Event #: 125000
p0: 2    Mating Event #: 150000
p0: 2    Mating Event #: 175000
p0: 2    Mating Event #: 200000
p0: 2    Mating Event #: 225000
########################
Run # 4
########################
p0: 119    Mating Event #: 0
p0: 119    Mating Event #: 25000
p0: 119    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 119    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 5
########################
p0: 35    Mating Event #: 0
p0: 2    Mating Event #: 25000
p0: 2    Mating Event #: 50000
p0: 2    Mating Event #: 75000
p0: 2    Mating Event #: 100000
p0: 2    Mating Event #: 125000
p0: 2    Mating Event #: 150000
p0: 2    Mating Event #: 175000
p0: 2    Mating Event #: 200000
p0: 2    Mating Event #: 225000
########################
Run # 6
########################
p0: 126    Mating Event #: 0
p0: 126    Mating Event #: 25000
p0: 126    Mating Event #: 50000
p0: 126    Mating Event #: 75000
p0: 126    Mating Event #: 100000
p0: 126    Mating Event #: 125000
p0: 92    Mating Event #: 150000
p0: 92    Mating Event #: 175000
p0: 92    Mating Event #: 200000
p0: 57    Mating Event #: 225000
########################
Run # 7
########################
p0: 119    Mating Event #: 0
p0: 119    Mating Event #: 25000
p0: 119    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 57    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 8
########################
p0: 119    Mating Event #: 0
p0: 119    Mating Event #: 25000
p0: 119    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 119    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 9
########################
p0: 2    Mating Event #: 0
p0: 2    Mating Event #: 25000
p0: 2    Mating Event #: 50000
p0: 2    Mating Event #: 75000
p0: 2    Mating Event #: 100000
p0: 2    Mating Event #: 125000
p0: 2    Mating Event #: 150000
p0: 2    Mating Event #: 175000
p0: 2    Mating Event #: 200000
p0: 2    Mating Event #: 225000
########################
Run # 10
########################
p0: 126    Mating Event #: 0
p0: 126    Mating Event #: 25000
p0: 126    Mating Event #: 50000
p0: 126    Mating Event #: 75000
p0: 126    Mating Event #: 100000
p0: 126    Mating Event #: 125000
p0: 2    Mating Event #: 150000
p0: 2    Mating Event #: 175000
p0: 2    Mating Event #: 200000
p0: 2    Mating Event #: 225000
########################
Run # 11
########################
p0: 119    Mating Event #: 0
p0: 119    Mating Event #: 25000
p0: 119    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 119    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 12
########################
p0: 10    Mating Event #: 0
p0: 10    Mating Event #: 25000
p0: 10    Mating Event #: 50000
p0: 10    Mating Event #: 75000
p0: 10    Mating Event #: 100000
p0: 10    Mating Event #: 125000
p0: 10    Mating Event #: 150000
p0: 10    Mating Event #: 175000
p0: 2    Mating Event #: 200000
p0: 2    Mating Event #: 225000
########################
Run # 13
########################
p0: 119    Mating Event #: 0
p0: 119    Mating Event #: 25000
p0: 119    Mating Event #: 50000
p0: 119    Mating Event #: 75000
p0: 119    Mating Event #: 100000
p0: 119    Mating Event #: 125000
p0: 119    Mating Event #: 150000
p0: 119    Mating Event #: 175000
p0: 119    Mating Event #: 200000
p0: 119    Mating Event #: 225000
########################
Run # 14
########################
p0: 1    Mating Event #: 0
